# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 300000
#     grad_samples = 100
#     elbo_samples = 100 (Default)
#     eta = 0.01
#     adapt
#       engaged = false
#       iter = 50 (Default)
#     tol_rel_obj = 1e-16
#     eval_elbo = 10000
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/stan_data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grid/grad_samples_100/eta_0p01/output.csv
#   diagnostic_file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/seed12_grad100_iter300000/fixed_eta_grid/grad_samples_100/eta_0p01/diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
10000,0.221,-173.39463
20000,0.443,-147.48361
30000,0.673,-147.4096
40000,0.891,-147.24851
50000,1.109,-147.43517
60000,1.329,-147.32735
70000,1.551,-147.38586
80000,1.769,-147.31337
90000,1.988,-147.32807
100000,2.209,-147.19056
110000,2.431,-147.38338
120000,2.655,-147.32506
130000,2.874,-147.34259
140000,3.099,-147.27548
150000,3.324,-147.38731
160000,3.549,-147.41629
170000,3.769,-147.27239
180000,3.99,-147.28904
190000,4.207,-147.30685
200000,4.429,-147.30369
210000,4.653,-147.31088
220000,4.87,-147.31873
230000,5.088,-147.2878
240000,5.313,-147.42583
250000,5.539,-147.17878
260000,5.757,-147.24371
270000,5.976,-147.29292
280000,6.193,-147.27217
290000,6.41,-147.40345
300000,6.632,-147.24716
